Address,Status,Transcript
"6th Ave #8 San Francisco, CA 94118",Inconclusive,"""Hi Kathleen, this is Natalie. We just spoke about the 1 bedroom at 6th Ave #8 for $2,450. I forgot to ask, when will it be ready for move in?"" V
""It is ready now!"" L
""ok great"" V
""And would we be able to use our section 8 voucher here?"" V
""That can be discussed."" L"
"19th Ave #2 San Francisco, CA 94122",Inconclusive,
"48th Ave #L San Francisco, CA 94122",Inconclusive,"""Hi Taylor, this is Oscar. We just spoke about the 1 bedroom at 48th Ave #L. I forgot to confirm is the rent still $2,400?"" V
""Hi Taylor, yes that is correct. The rent is $2400"" L
""Great"" V
""And we have a Section 8 voucher, can we use that here?"" V
""Just wanted to check back here"" V
""Hey following up here"" V
""wanted to check back here"" V
""A"" V"
"22nd Ave #8 San Francisco, CA 94121",Inconclusive,
"24th Ave #827 San Francisco, CA 94121",Pending,"""Hi Casey, this is Oscar I saw your listing for the 3 bedroom at 24th Ave #827 for $3,800. Is that still available?"" V
""Yes,"" L
""great are you showing it this week?"" V
""Yes, can you message me through zillow app?"" L
""I just wanted to check first if we could use our section 8 voucher here?"" V
""Sorry, we don't choose section 8."" L
""sure"" V"
"34th Ave #3 San Francisco, CA 94121",Inconclusive,
"21st Ave #5 San Francisco, CA 94121",Inconclusive,
"Washington St, APT C, San Francisco, CA 94108",No Claim,"""Hi Megan, this is Avery. We just spoke over the phone about the 1 bedroom for rent at Washington St."" L
""Remind me again how late you said you would be able to be there until this afternoon?"" L
""Until 5pm"" V
""Okay, my wife is still waiting to see if she can leave work. Before we confirm I also wanted to ask if we would be able to use a Section 8 voucher here?"" V
""Income required is three times the rent and credit of 700 or better. Anyone is welcome to apply."" L
""I see and how would the income requirement work for us since we have the voucher?"" V
""Your income would need to meet the requirements, which can include the voucher."" L"
"North Point St, San Francisco, CA 94123",Inconclusive,"""Hi Michael, this is Cameron. We just spoke over the phone about the 1 bedroom for rent at 2233 North Point St. I forgot to ask if there are any specific hours of the day the unit would be available for viewing?"" L
""You can view it anytime."" L
""Okay good to know. I also wanted to ask if we would be able to use a Section 8 voucher here?"" V
""How much is the voucher worth? I was renting the place for $2950 before. I only lowered it for non-Section 8, but I may consider Section 8 if your voucher would cover the original rent."" L
""My caseworker said my voucher could cover 1 bedrooms up to $3,800 a month."" V
""Give me a call. Maybe we can work something out."" L"
"18th St, #B, San Francisco, CA 94114",Inconclusive,"""Hi Drew, this is Oscar. We just spoke over the phone about the 1 bedroom for rent at 18th St for $2,995."" V
""You said you would be able to do a showing around 1:30 tomorrow?"" V
""Okay great! Before we actually confirm the appointment though, I wanted to ask if we would be able to use a Section 8 voucher here?"" V
""It's for a 1 bedroom for two people. Myself and my wife."" V
""I will consider it if overall qualifications are good."" L
""Okay great! Would we need to make a certain income to qualify?"" V
""Do you have any income?"" L
""Our combined income last year was about 74,000."" V
""Where do you live now and what's the reason you are moving?"" L
""We're living with family in Parkside right now. We just have the voucher."" V"
"9th Ave, San Francisco, CA 94122",Inconclusive,"""Hi Marissa, this is Oscar. We just spoke over the phone about the apartment for rent at 1882A 9th Ave for 2,500."" L
""You said you would be able to do a showing tomorrow at 5:30, correct?"" L
""Hi. Yes"" V
""Okay great. I'm still waiting for my wife to confirm if that time is good for her."" V
""Before we confirm the showing though I also wanted to ask if we would be able to use a Section 8 voucher here?"" V
""Hi. Yes though you must fill out an application and do a credit check. We also require a 7500 first/last/deposit."" L
""Okay we have some savings so I think that should be okay. Would we need to make a certain income to qualify?"" V
""Please fill out the application on Zillow as it's an automated system but I have already filled the 5:30 appointment so can't show it to you until Saturday at 3."" L
""Okay Saturday might be better for us anyway actually."" V
""So would there not be a specific income requirement then?"" V
""Yes there is but it's calculated by Zillow. Also requires a certain credit score but it's an automated process. Thanks."" L"
"Lincoln Way, APT 4, San Francisco, CA 94122",Pending,"""Thanks! I'll let you know when I hear back from my wife about this afternoon."" L
""Just to confirm, the address is Lincoln Way, correct?"" L
""Hi Robin sorry we weren't able to make it yesterday. Would we still be able to view the apartment?"" V
""Yes"" L
""Showing it today at 2:30"" L
""Okay let me see if I can take off work then to make it."" V
""Before we confirm though I also wanted to ask to see if I would be able to use a Section 8 voucher here?"" V
""Hi just following up about my previous question?"" V
""Unfortunately not"" L"
"Buchanan Street, UNIT 508, San Francisco, CA 94102",Inconclusive,"""Hi Alex, this is Oscar. We just spoke over the phone about the apartment for rent for 3,350 at 8 Buchanan St. I talked to my wife and it sounds like after 4 on weekdays or any time on the weekend would probably work best for us for a showing. How does that sound?"" V
""Hi Alex. Good to talk to you just now. Are you guys available to see it at 4 pm tomorrow?"" L
""Let me check with my wife to make sure. Before we confirm I also wanted to ask if we would be able to use our Section 8 voucher here?"" V
""I'm not too familiar but have heard of Section 8 vouchers. How much is that voucher covering and for how long? Are you currently using the voucher? And may I ask why you are looking to move? And what is your approximate income and credit score range?"" L
""We're supposed to pay 30% of our income towards the rent and the voucher covers the remainder. Our combined income is about 74,000 per year. And my credit score was 720 last I checked. Right now it's for a 12 month lease, but it can get renewed if our income doesn't change. We're looking to move because we're living with family right now and looking to get our own place."" V
""Hi Alex, just following up from yesterday... So do you think we'd be able to use our voucher here then?"" V
""Thanks for following up. I am not sure how it all works in its practical mechanics. Do I get paid partially each month from a government agency with a direct payment? Or all of it through you? Do I sign a lease with you only? Do I have to allow some agency to come inspect the property regularly or submit to some additional regulations and requirements that are in addition to being a normal landlord? (I am not a large rental company so have not dealt with these sort of questions/issues before.) And what if I plan to sell the condo in the coming year? In fact, I am trying to decide if I want to sell it now instead of continue to rent it out and be a landlord. (My current tenants just gave me notice last weekend). Finally, you said you have been living with family. Do you have any landlord references from prior leases? How long ago was that? Have you ever used this program before? Or is this the first time you are qualified for? How long have you been waiting for this Section 8 voucher to come through?"" L"
"27th Ave, #2, San Francisco, CA 94116",Inconclusive,"""Hi Oscar... would sometime mid afternoon on Thursday or Saturday work to view?"" V
""Yes"" L
""Great. I'll check with my wife to see which of those times works best for her. Before we confirm though I also wanted to ask if we would be able to use our Section 8 voucher here?"" V
""Yes, so long as both your credit scores are high. We just turned someone down with a low credit score."" L
""Owners will run credit reports. It will be $40 each."" L
""I see. My credit score was 720 last time I checked. Would that not be enough to qualify?"" V
""I believe in the ad we listed the credit score minimum that the owners want to see."" L
""Someone just applied for the apt with an 837 credit score but they have 2 cats and the owners declined them."" L
""I can show you the unit and if you want to apply, you can make out a check to the owner for $80.00 so they can run both your credit reports and background checks."" L"
"Judah St, San Francisco, CA 94122",Pending,"""Hi Taylor, this is Oscar. We just spoke over the phone about the studio for rent at Judah St. How late do you think you will be there doing showings today?"" V
""My schedule with current tenant is from 4:00-6:00 pm, today is his day off. He went out during the showing. I do not want to pass the 6:00 pm."" L
""Okay, understood. Before I try to make it over though I also wanted to check if I would be able to use my section 8 voucher here?"" V
""No section 8. Sorry."" L"
"Mason St, #B, San Francisco, CA 94133",Inconclusive,"""Hi Michael, this is Oscar. We just spoke over the phone about the 1 bedroom for rent at Mason St for 3,100."" V
""It looks like it's going to be tough for my wife to make it to a viewing by 4:30. Could you do it any later? Or tomorrow instead?"" V
""Later is fine."" L
""It is really a studio or junior one bedroom FYI."" L
""Okay good to know. I think we'd need to see it in person to really get a sense for the space."" V
""Before we come see it though, I also wanted to ask to see if we would be able to use a Section 8 voucher here?"" V
""Can you do 6 pm?"" V
""I don't know if the owner is accepting that."" L
""Would you be able to find out if the owner would accept the voucher or not before we take the time to come see the place?"" V"
"Buchanan St, #1, San Francisco, CA 94123",Inconclusive,"""Hi Casey, this is Oscar. We spoke on the phone yesterday about the 1 bedroom for rent for 3,000 at 3221 Buchanan St. You suggested I should check with you today to see if the unit ended up still being available or not?"" V
""Hi Casey. Yes I'll still show it. The girl that applied also applied for another unit. I'm not going to wait for her. Just let me know when you can see it."" L
""Great! I'd love to see the place. Before we schedule a specific time though I wanted to check to see if I would be able to use a Section 8 voucher here?"" V
""What's your credit like?"" L
""It was 720 last time I checked."" V
""That's ok I'll show it to you. If you apply, I'll need a recent one."" L
""Okay great. Would I need a certain income to qualify though?"" V
""Normally there is, but how much is Section 8 covering?"" L
""We're supposed to pay 30% of our income towards the rent and Section 8 is supposed to cover the rest. Combined we made about 74,000 last year."" V
""Not bad. How many occupants?"" L
""Just 2."" V
""Okay. Can you view it tomorrow?"" L"
"Grove St, # 1, San Francisco, CA 94102",Pending,"""Hi I missed a call from this number. Is this Riley from the 743 Grove St apartment?"" V
""Yes"" L
""Okay great. I'm still waiting to hear back from my wife about what time works best for a viewing on Friday."" L
""I will schedule a viewing time between 11AM-2:00 PM on Friday 9/22. Please text me if you are interested in me to circle back."" V
""Thanks I'll check out the video right now. Also, before we confirm an appointment I wanted to ask if we would be able to use a Section 8 voucher here for this apartment?"" L
""Hi Riley, just following up about my previous question?"" V
""Let me find out and get back to you - I am not familiar with the process."" L
""Okay let me know when you're able to find out please."" V
""Hi just wondering if you had any update?"" V
""No I do not I really do not have any idea to handle the voucher so I pass. I think there are buildings with professional management which they do you my try them since there are many on the market."" L"
"California St, Unit 104, San Francisco, CA 94115",Inconclusive,"""Hi Jamie, this is Rose."" V
""We just spoke over the phone about the studio for rent for $2,799 at 2380 California St. You said you would be showing it tomorrow at 3, correct?"" V
""Yes, I'll meet with you tomorrow at 3 PM in front of 2380 California. Thanks again."" L
""Hold on before we actually confirm the appointment I wanted to ask if I would be able to use a Section 8 voucher here?"" V
""Yes, you have to make sure you have all your paperwork in order when you apply online."" L
""Okay got it. Would I need to make a certain income to qualify?"" V
""Yes, income requirement is 3 times monthly rent."" L
""And how would that work with my voucher?"" V
""How much does your voucher cover in rent? We do need verifiable references as well."" L
""I'm supposed to pay 30% of my income towards the rent. Then the voucher is supposed to cover the rest. I make about $65,000 a year."" V
""Only way to know for sure is if we run the application. I won't know for sure with all your questions."" L"
"Clipper St, San Francisco, CA 94114",Inconclusive,"""Hi Avery, this is Oscar. We just spoke over the phone about the apartment for rent. You said you would be able to do a showing tomorrow at 6 correct?"" V
""Hi Avery, yes tomorrow at 6 pm works."" L
""Okay but before we confirm the viewing I also wanted to ask to see if we would be able to use a Section 8 voucher here?"" V
""Sorry, not sure how that works and all the logistics behind that."" L
""The way it works is that the government pays a portion of the rent through the voucher and I pay a small portion based on my income."" V
""I recommend you come and look at the place and see if you like it. Thanks!"" L"
"Vallejo St, # 1, San Francisco, CA 94123",Inconclusive,"""Hi Ryan, this is Cameron. We just spoke over the phone about the 1 bedroom for rent at Vallejo St. You said you'd be able to show it tomorrow at 5, correct?"" L
""Okay my wife is still waiting to hear back from her job to see if she could make it. Before we confirm though I wanted to check to see if we could use our Section 8 voucher here?"" V
""Yes, they do."" L
""Fantastic! And would we need to make a certain income to qualify?"" V"
